week,dividend_date,buy_date,sell_date,buy_price,sell_price,shares,trade_cost,trade_proceeds,trade_pnl,trade_pnl_percent,portfolio_value
1,2025-03-13,2025-03-13,2025-03-19,4.980353295986882,5.087953090667725,20078,99995.53347682462,102155.92215442657,2160.38867760195,2.160485176173044,102160.38867760195
2,2025-03-20,2025-03-20,2025-03-26,5.055188655085424,5.141002178192139,20209,102160.30753062134,103894.51301908493,1734.2054884635872,1.697533543488776,103894.59416606554
3,2025-03-27,2025-03-27,2025-04-02,5.084767336771608,4.926364898681641,20432,103891.9662249175,100655.48760986328,-3236.4786150542204,-3.11523473147819,100658.11555101132
4,2025-04-03,2025-04-03,2025-04-09,4.662681984746032,4.710916519165039,21588,100657.97868669734,101699.26581573486,1041.2871290375188,1.0344804680397701,101699.40268004884
5,2025-04-10,2025-04-10,2025-04-16,4.6065548763160535,4.606554985046387,22077,101698.91200442951,101698.91440486908,0.0024004395672818646,2.3603394765691427e-06,101699.4050804884
6,2025-04-17,2025-04-17,2025-04-24,4.6686388133157015,4.880283832550049,21783,101696.95927045593,106307.22272443771,4610.263453981781,4.533334612022282,106309.66853447018
7,2025-04-24,2025-04-24,2025-04-30,4.787885918874361,4.955882549285889,22203,106305.43105676743,110035.46024179459,3730.0291850271606,3.5087851560804206,110039.69771949734
8,2025-05-01,2025-05-01,2025-05-07,5.036118680729547,5.0873332023620605,21850,110039.1931739406,111158.23047161102,1119.0372976704239,1.0169442953853223,111158.73501716777
9,2025-05-08,2025-05-08,2025-05-14,5.181382024036249,5.538419246673584,21453,111156.18856164964,118815.7080988884,7659.519537238753,6.890772017601717,118818.25455440652
10,2025-05-15,2025-05-15,2025-05-21,5.490597572884435,5.410894870758057,21640,118816.53147721918,117091.76500320435,-1724.766474014832,-1.4516216325886633,117093.48808039169
11,2025-05-22,2025-05-22,2025-05-29,5.436095669856729,5.602389335632324,21539,117088.0646330441,120669.86390018463,3581.7992671405373,3.059064370365976,120675.28734753223
12,2025-05-29,2025-05-29,2025-06-04,5.6937822212471145,5.730340003967285,21194,120674.02039711135,121448.82604408264,774.8056469712901,0.6420649982668822,121450.09299450352
13,2025-06-05,2025-06-05,2025-06-11,5.753538862621459,5.809218883514404,21108,121445.69831221376,122620.99219322205,1175.293881008285,0.9677525818879383,122625.3868755118
14,2025-06-12,2025-06-12,2025-06-18,5.813930759951645,5.908159255981445,21091,122621.61365814014,124608.98686790466,1987.373209764526,1.6207364676387097,124612.76008527633
15,2025-06-20,2025-06-20,2025-06-26,5.992261043663175,6.08149528503418,20795,124609.06840297572,126464.69445228577,1855.6260493100417,1.4891581111168377,126468.38613458637
16,2025-06-26,2025-06-26,2025-07-02,6.032998327278216,6.129992485046387,20962,126463.71093640597,128496.90247154236,2033.191535136386,1.6077272445047925,128501.57766972276
17,2025-07-03,2025-07-03,2025-07-10,6.154610741819642,6.230000019073486,20878,128495.96306771049,130069.94039821625,1573.9773305057606,1.2249235640783196,130075.55500022852
