month,high,high_timestamp,high_day_of_week,low,low_timestamp,low_day_of_week,range,range_pct,high_day_of_month,low_day_of_month
2020-08,510.199,2020-08-31 12:30:00,Monday,475.4,2020-08-31 09:30:00,Monday,34.799000000000035,7.319941102229708,31,31
2020-09,735.0,2020-09-24 09:30:00,Thursday,505.804,2020-09-01 10:45:00,Tuesday,229.19600000000003,45.31320432420464,24,1
2020-10,814.9,2020-10-02 09:30:00,Friday,573.4,2020-10-09 09:30:00,Friday,241.5,42.11719567492152,2,9
2020-11,742.709,2020-11-02 09:45:00,Monday,276.0,2020-11-24 10:00:00,Tuesday,466.709,169.09746376811592,2,24
2020-12,345.9,2020-12-02 09:30:00,Wednesday,228.6,2020-12-10 11:15:00,Thursday,117.29999999999998,51.31233595800524,2,10
2021-01,269.8,2021-01-04 10:45:00,Monday,166.2,2021-01-14 14:30:00,Thursday,103.60000000000002,62.33453670276776,4,14
2021-02,209.5,2021-02-01 10:00:00,Monday,111.35,2021-02-24 14:30:00,Wednesday,98.15,88.1454872025146,1,24
2021-03,122.7,2021-03-01 13:15:00,Monday,99.1,2021-03-05 09:30:00,Friday,23.60000000000001,23.814328960645824,1,5
2021-09,88.4,2021-09-09 09:30:00,Thursday,56.0,2021-09-28 09:30:00,Tuesday,32.400000000000006,57.85714285714286,9,28
2021-10,59.7,2021-10-01 09:30:00,Friday,44.084,2021-10-25 10:00:00,Monday,15.616,35.423282823700205,1,25
2021-11,57.4,2021-11-30 13:00:00,Tuesday,42.7,2021-11-08 09:45:00,Monday,14.699999999999996,34.42622950819671,30,8
2021-12,64.4,2021-12-20 09:30:00,Monday,47.7,2021-12-07 12:30:00,Tuesday,16.700000000000003,35.01048218029351,20,7
2022-01,53.5,2022-01-03 09:30:00,Monday,37.64,2022-01-18 09:45:00,Tuesday,15.86,42.13602550478214,3,18
2022-02,42.85,2022-02-01 09:30:00,Tuesday,35.2,2022-02-04 10:15:00,Friday,7.649999999999999,21.73295454545454,1,4
2022-09,22.91,2022-09-26 13:15:00,Monday,14.3197,2022-09-14 12:45:00,Wednesday,8.590300000000001,59.989385252484354,26,14
2022-10,17.62,2022-10-03 09:30:00,Monday,11.8267,2022-10-27 11:00:00,Thursday,5.7933,48.98492394328088,3,27
2022-11,13.07,2022-11-03 09:30:00,Thursday,10.66,2022-11-14 10:30:00,Monday,2.41,22.607879924953096,3,14
2022-12,16.0,2022-12-09 15:45:00,Friday,11.45,2022-12-01 09:30:00,Thursday,4.550000000000001,39.73799126637555,9,1
2023-01,16.53,2023-01-04 09:30:00,Wednesday,12.06,2023-01-27 10:00:00,Friday,4.470000000000001,37.06467661691543,4,27
2023-02,15.04,2023-02-06 10:30:00,Monday,12.835,2023-02-14 10:15:00,Tuesday,2.2049999999999983,17.179587066614708,6,14
2023-09,10.75,2023-09-25 09:30:00,Monday,9.37,2023-09-14 09:30:00,Thursday,1.3800000000000008,14.72785485592317,25,14
2023-10,11.99,2023-10-05 09:30:00,Thursday,9.15,2023-10-19 13:15:00,Thursday,2.84,31.038251366120218,5,19
2023-11,11.95,2023-11-22 09:30:00,Wednesday,9.76,2023-11-03 09:45:00,Friday,2.1899999999999995,22.43852459016393,22,3
2023-12,13.16,2023-12-12 13:00:00,Tuesday,10.505,2023-12-26 13:30:00,Tuesday,2.655,25.27367920038076,12,26
2024-01,13.195,2024-01-18 09:45:00,Thursday,10.69,2024-01-04 09:30:00,Thursday,2.505000000000001,23.4331150608045,18,4
2024-02,12.91,2024-02-05 10:15:00,Monday,10.65,2024-02-28 10:00:00,Wednesday,2.26,21.220657276995304,5,28
2024-03,10.8,2024-03-05 09:30:00,Tuesday,8.575,2024-03-28 14:00:00,Thursday,2.2250000000000014,25.947521865889232,5,28
2024-04,9.1,2024-04-18 14:45:00,Thursday,7.865,2024-04-12 09:30:00,Friday,1.2349999999999994,15.702479338842966,18,12
2024-05,9.6,2024-05-01 14:00:00,Wednesday,8.73,2024-05-10 09:30:00,Friday,0.8699999999999992,9.965635738831606,1,10
2024-06,10.4483,2024-06-17 10:45:00,Monday,8.95,2024-06-03 09:30:00,Monday,1.4983000000000004,16.740782122905035,17,3
2024-07,10.13,2024-07-25 09:30:00,Thursday,8.8699,2024-07-17 10:00:00,Wednesday,1.260100000000001,14.206473579183546,25,17
2024-08,12.32,2024-08-05 09:30:00,Monday,9.395,2024-08-01 09:30:00,Thursday,2.9250000000000007,31.133581692389576,5,1
2024-09,13.08,2024-09-11 10:45:00,Wednesday,10.495,2024-09-24 09:30:00,Tuesday,2.585000000000001,24.630776560266803,11,24
2024-10,11.72,2024-10-01 09:30:00,Tuesday,9.68,2024-10-07 13:15:00,Monday,2.040000000000001,21.074380165289263,1,7
2024-11,11.788,2024-11-01 15:45:00,Friday,8.6649,2024-11-25 09:30:00,Monday,3.123100000000001,36.04311648143661,1,25
2024-12,12.46,2024-12-20 09:30:00,Friday,9.1593,2024-12-02 09:30:00,Monday,3.300700000000001,36.03659668315265,20,2
2025-01,10.685,2025-01-02 13:30:00,Thursday,8.89,2025-01-16 15:00:00,Thursday,1.795,20.191226096737903,2,16
2025-02,11.66,2025-02-28 09:30:00,Friday,9.4719,2025-02-19 11:45:00,Wednesday,2.1881000000000004,23.100961792248658,28,19
2025-03,13.375,2025-03-05 11:30:00,Wednesday,9.99,2025-03-26 10:15:00,Wednesday,3.385,33.88388388388388,5,26
2025-04,17.483993,2025-04-09 11:00:00,Wednesday,10.25,2025-04-02 15:45:00,Wednesday,7.233993000000002,70.57554146341465,9,2
2025-05,13.22,2025-05-01 09:30:00,Thursday,9.6,2025-05-13 15:45:00,Tuesday,3.620000000000001,37.70833333333334,1,13
2025-06,11.05,2025-06-05 10:15:00,Thursday,8.48,2025-06-18 09:30:00,Wednesday,2.5700000000000003,30.306603773584907,5,18
2025-07,10.005,2025-07-01 10:00:00,Tuesday,8.64,2025-07-11 15:30:00,Friday,1.3650000000000002,15.798611111111112,1,11
2025-08,10.4222,2025-08-11 11:00:00,Monday,9.06,2025-08-25 14:45:00,Monday,1.3621999999999996,15.035320088300216,11,25
