year,month,action,buy_date,buy_price,buy_rsi,sell_date,sell_price,sell_rsi,position_size,return_pct,days_held
2022,October,buy,2022-10-03,5.707,40.45523938286266,2022-10-10,5.987,40.25275049503171,1,4.906255475731562,7
2022,December,buy,2022-12-05,8.329,51.715022022516415,2022-12-12,8.515,59.121955941431466,1,2.2331612438467996,7
2023,January,buy,2023-01-09,8.475,53.449081165221,2023-01-09,8.595,53.449081165221,1,1.4159292035398348,0
2023,February,buy,2023-02-06,8.322,55.86637068277934,2023-02-13,8.945,64.09557321755119,1,7.486181206440773,7
2023,May,buy,2023-05-01,10.511,51.63957103992775,2023-05-08,13.595,71.55585856813968,1,29.340690704975753,7
2023,September,buy,2023-09-11,27.736,48.52250183694531,2023-09-11,28.547,48.52250183694531,1,2.9239976925295643,0
2023,November,buy,2023-11-06,25.259,45.94030944921359,2023-11-13,26.475,47.2278016319554,1,4.814125658181247,7
2023,December,buy,2023-12-04,26.613,45.24590097851616,2023-12-11,26.3035,45.683791981997295,1,-1.1629654680043584,7
2024,April,buy,2024-04-01,103.714,59.67107824579542,2024-04-08,96.2495,48.56569259314567,1,-7.1971961355265455,7
2024,May,buy,2024-05-06,83.098,48.1898862612075,2024-05-13,81.082,43.89631483727332,1,-2.4260511684998503,7
2024,June,buy,2024-06-03,77.089,40.60804028185889,2024-06-10,76.165,44.24984132921522,1,-1.198614588332956,7
2024,September,buy,2024-09-09,40.968,24.963594715877548,2024-09-09,39.2735,24.963594715877548,1,-4.13615504784223,0
2024,October,buy,2024-10-07,47.764,50.59029474336904,2024-10-14,48.175,50.25523018579086,1,0.8604806967590534,7
2024,November,double_down,2024-11-04,25.735,22.72608575627666,2024-11-11,22.35,27.067938789505703,2,-13.153293180493483,7
2025,March,buy,2025-03-03,36.07,45.9637531823678,2025-03-10,37.8,46.78165738705635,1,4.796229553645681,7
2025,April,buy,2025-04-07,33.0057,42.968588141092695,2025-04-14,35.03,44.699112716784185,1,6.133183056259991,7
